mrna_F.50179058.003S mrna_F.50179060.003S mrna_F.50179062.003S mrna_F.50179066.003S mrna_F.50179064.003S mrna_F.50179068.003S mrna_F.50179071.003S mrna_F.50179073.003S mrna_F.50179075.003S mrna_F.50179077.003S mrna_F.50179079.003S mrna_F.50179081.003S mrna_F.50179083.003S mrna_F.50179085.003S mrna_F.50179087.003S mrna_F.50179089.003S mrna_F.50179091.003S mrna_F.50179093.003S mrna_F.50179095.003S mrna_F.50179097.003S mrna_F.50179099.003S mrna_F.50179101.003S mrna_F.50179105.003S mrna_F.50179106.003S mrna_F.50179108.003S mrna_F.50179110.003S mrna_F.50179112.003S mrna_F.50179114.003S mrna_F.50179116.003S mrna_F.50179118.003S mrna_F.50179120.003S mrna_F.50179122.003S mrna_F.50179123.003S mrna_F.50179125.003S mrna_F.50179127.003S mrna_F.50179129.003S mrna_F.50179131.003S mrna_F.50179133.003S mrna_F.50179135.003S mrna_F.50179137.003S mrna_F.50179139.003S mrna_F.50179141.003S mrna_F.50179143.003S mrna_F.50179145.003S mrna_F.50179147.003S mrna_F.50179149.003S mrna_F.50179151.003S mrna_F.50179153.003S mrna_F.50179155.003S mrna_F.50179157.003S mrna_F.50179159.003S mrna_F.50179161.003S mrna_F.50179163.003S mrna_F.50179165.003S mrna_F.50179167.003S mrna_F.50179169.003S mrna_F.50179171.003S mrna_F.50179173.003S mrna_F.50179176.003S mrna_F.50179182.003S mrna_F.50179184.003S mrna_F.50179186.003S mrna_F.50179188.003S mrna_F.50179190.003S mrna_F.50179192.003S mrna_F.50179194.003S mrna_F.50179196.003S mrna_F.50179198.003S mrna_F.50179200.003S mrna_F.50179201.003S mrna_F.50179203.003S mrna_F.50179205.003S mrna_F.50179207.003S mrna_F.50179209.003S mrna_F.50179211.003S mrna_F.50179213.003S mrna_F.50179215.003S mrna_F.50179217.003S mrna_F.50179219.003S mrna_F.50179221.003S mrna_F.50179223.003S mrna_F.50179225.003S mrna_F.50179227.003S mrna_F.50179229.003S mrna_F.50179231.003S mrna_F.50179233.003S mrna_F.50179235.003S mrna_F.50179237.003S mrna_F.50179239.003S mrna_F.50179241.003S mrna_F.50179243.003S mrna_F.50179245.003S mrna_F.50179247.003S mrna_F.50179249.003S mrna_F.50179251.003S mrna_F.50179253.003S mrna_F.50179255.003S mrna_F.50179257.003S mrna_F.50179259.003S mrna_F.50179261.003S mrna_F.50179263.003S mrna_F.50179265.003S mrna_F.50179267.003S mrna_F.50179269.003S mrna_F.50179271.003S
K07735 2.11 7 59.33 173.1 9.08 4.45 27.4 10 14.15 19.69 5.81 31.37 127.75 5.61 48.56 1 12.23 42.79 25.04 87.39 15 37.87 6.25 13.57 2.23 38.7 11.74 35.74 29.5 3.23 48.14 23.69 46.22 31.63 19.84 0 13.96 17.13 29.27 2 13.36 53.47 23.57 109.92 32.6 7.23 107.99 12.7 56.42 3.61 94.84 31.45 12.95 27.28 31.69 40.29 14.72 13.97 10.84 14.72 206.24 37.91 91.87 37.51 119.32 1.23 5.2 11 5.84 25.36 81.39 35.5 11 71.91 37.82 6.86 50.55 18.75 50.3 14 12.87 37.47 34.8 90.87 15.48 78.62 17.56 3.3 47.6 21.31 146.9 19.86 60.05 67.49 10.37 53.09 45.7 11.8 94.12 37.65 44.79 18.68 53.29 11.7 61.05
K07736 115 23 55 90 26 356.62 102 45 76.98 66.64 34.97 138 186.98 50 34.24 233.19 111.98 131.34 177.02 39 99.43 19 13 44 111.43 22 169.78 96.74 122 177 90.39 31 168 129.98 51 29.58 186.02 54 40.21 54.65 149.42 18 16 46 29 33.95 115 141.13 22 87 80.87 46 175.17 20 140 2 21 13 165.4 5 21 54 71 106 72 14 13 86 5 182.33 32.28 121.46 80.98 36 9 30.43 43 54 52 25 38 24 90.98 66 60 1 6 40 60.84 36 141 137 47 132 264.37 13 118.57 1 8 61.86 4 3 46 3 193
K07738 1273.88 159.38 139 103.17 5338.31 196.12 139.92 40.5 250.08 32 30.99 79.53 157.64 302.64 75 180 67 66.93 268.1 94.14 93.42 45.18 150.5 41.13 72.65 26 136 80.65 78.58 65 72.33 43.22 76.37 71.43 58.75 670.08 116.74 58.12 40.48 120.01 54.31 284.27 181.17 94.83 78.06 238 123.57 214.22 71.31 815.34 147.4 178.16 598.26 58.6 163.91 274.73 1960.95 83.67 559.78 1192 194.07 78.42 770.76 89.88 96.41 1224.43 288.05 120.99 30.52 268.23 74.53 128.66 230.15 132.28 4801.03 48 136.74 242.1 185.02 100.34 149.02 48.51 101 125.22 61.13 99.84 2057.84 114.97 120.92 2266.51 119.82 99.12 141.46 188.2 286.69 85.96 401.56 3917.81 77.62 1792.22 70.08 4517.88 85.86 3079.25 119.89
K07739 3 53.02 679 53.33 2 9 153.6 35.46 4 1 8 53 26 17 42.09 2 28.84 34.12 8.97 58.61 36 18.23 23 36.81 27 19.36 18.95 47.31 30 49.62 40.83 30.51 9 25.46 20.27 5 32.55 5 90.9 19 24.62 45 3 25 38.65 6 22 50.39 32.95 44 36.9 87.74 63.4 4 13 57.19 14 3 19 15 46.58 32.03 1 22 62.93 34 37.48 34.49 39.36 90.93 57.41 69.32 5 103.92 11 25 31 20 105.13 57.84 15 18.94 15 44 7 26.87 11 18 59.16 50.51 25 47.59 109.69 30.72 103.07 25 23 6 16 43 9.44 18 14 6 13
K07740 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 3 0 0 3 0 0 0 0 0 1 0 3 0 6 1 0 5 0 1 0 0 0 1 1 0 2 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 4 0 0 0 2 1 0 0 0 4 0 0 1 0 1 0 0 2 0 0 0 1 0 1 0 0 1 0 2 1 2 0 1 0 0 1 0 0 0 2 0 2 0 0 0
K07741 2973.11 32.43 18 41.69 73 37.12 71.53 32.33 21.43 12 41.91 45.03 120.27 60.41 52.1 13 56 88.33 35 63.9 42 52.7 55 59.88 25.24 77.68 51.7 28 57 45.31 34.38 52 40 62 31 17.2 70 6.22 61 118.52 39.74 74.14 50.12 95.54 18.86 22.87 101 28 104.04 10.38 41.7 46.22 161.28 10 108.17 33.95 52.61 12 84.97 34.18 148.27 20.39 58.77 32 49.28 126.16 63.71 79.57 25 103.05 37 55.29 108.19 37.87 146.61 57.37 56.62 44.25 72.1 33 71.6 37.87 78 45 120.05 35.5 57.81 27 145.5 40 58 70.81 72.25 29.48 54.96 65.55 597.79 49.47 7.33 68.22 12.01 11.37 8.5 42.64 27
K07742 142.33 204 102 55 585.02 18 122.96 231 103 21.14 61.72 169.43 127 87.11 284.02 133 419.51 137.29 115.18 437.32 437.75 211 20.95 129.65 230 206.97 168.25 281.65 238.15 446.56 128.81 245.47 27 84.95 199.21 91 186.3 29 292 245.97 179 60.38 33.42 48.96 76.41 43.58 56.89 40.19 43 168.16 37 166.91 66.03 19 28 41.36 193.4 25 53.22 130.36 82.4 53.45 108 21.01 84.33 163 135 266.76 58 116.6 31 175 45.76 112 851.57 152 86.12 39.22 96.01 173.27 87.32 16.67 14.29 55.66 26.14 47.91 390.19 79.39 125.63 365.41 31.62 100.3 112.46 63 72.66 50.93 46.7 834.13 20 268.4 12 463.42 69.63 652.42 25.72
K07748 0 0 2 1 0 0 2 3 0 0 2 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 1 0 7 0 4 0 1 1 0 1 5 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 1 1 0 2 0 0 0 0 0 2 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0
K07749 359 951.08 543.41 834.39 104.68 1232.48 1861.26 861.89 1208.76 855.98 284.58 2747.86 4628.38 1461.82 1104.19 1308.39 1285.58 1776.31 1655.18 1350.85 2871.48 597.91 747.41 1030.45 1074.49 831.22 1892.16 1429.53 1373.14 1062.63 1738.74 1102.34 8 1232.01 1212.28 500 3064.98 412.03 2366.88 2329.45 599 114 70.03 159 658.2 322 280.59 1363.07 2215.47 517.01 592.44 2243.38 1828.87 111 590.6 1 37 115 438.27 8 520.77 358.25 361 437.43 801.89 100 957 886.44 363 936.22 673.35 1909.65 778.45 778.78 49 883.43 941.48 385 1698.91 906.92 757 304.79 496.5 764.17 331.05 709.99 10 594 1695.53 359.46 127 1374.69 1507.58 1219.03 2493.31 142 271.63 30 19 344 0 17 549.32 42 1
K07750 0 0 21 9.01 0 1 12 22 1 0 1 0 0 0 2 4 12 2 0 8 2 4 4 9.01 0 5 2 2 2 2 0 20.99 0 25 2 0 7 0 3 44 26 0 3 0 2 0 1 0 3 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 1 0 0 1 1 0 1 0 13 0 0 0 0 0 0 3 0 0 1 0 1 3 0 0 0 1 0 0 0 0 0 0 3 0 0 7 0 0
K07751 0 0 2.22 0 0 0 1 0 0 1 1 0 1.98 0 0 0 0 0 0 0 0 3 3 0 0 0 0 0 2 0 0 1 8 0 0 0 0 1 0 0 0 1 0 1 1 0 1 0 1 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0.96 1 0 0 0 3 0 1 0 0 0 1 0 0 0 0 1 0 2 2 0 0 0 0 1 0 2 2
K07753 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0
K07755 2 2 8 3 2 0 1 0 0 1 3 0 6 1 0 0 0 1 4 0 2 0 3 0 0 0 0 0 0 2 0 2 0 0 1 0 1 1 3 1 1 5 4 7 2 1 3 1 1 0 1 4 5 7 3 4 6 0 7 1 2 4 2 0 4 4 2 4 1 4.26 0 9 1 6 1 0 0 4 1 1 2 0 0 2 1 10 1 1 4 1 3.82 1 1 4 2 3 4 1 0 1 0 6 2 2 3
K07756 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 2 3 0 0 1 0 1 0 1 0 1 0 1 0 0 1 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
K07757 20 34 40 98 110.34 44 272 14 100 36 10 54 112 20 44 80 14 10 94 44 64 20 54 12 26 12 48 40 28 70 70 32 40.54 26 24 36 52 38 10 78 28.8 192.12 50 163.72 224 38 68.14 50 28 43.98 118 94 336.32 20 104 142.02 64 20 80 247.98 67.98 79.98 76 116 270 172 34 49.98 28 118 98 102 98 56 116.86 100 62.24 74 86 80 184.02 40 86 100 18 36 116.06 91.98 212 252.28 96.28 186 188.14 114.02 84 122 183.92 85.68 265.72 129.62 90 168.08 56 98 70
K07758 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
K07760 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
K07766 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
K07768 142.53 619.62 51 487.02 108 175 442.64 153 130.74 111.76 62 314.46 970.78 267.58 179 380.7 216 366.82 573.24 195.32 302.7 517.58 99 227 121.74 178.7 187.46 142.06 150 513.04 364 226.9 218 382 150.16 32 329.38 206.44 341.54 255.02 150 474.78 153.44 321.3 528.16 212.66 485.14 256.3 469.84 110 431.58 752.4 312.92 59.56 298.2 55.2 237.02 113.44 264.16 166 603.06 396.16 206.72 208.86 405.78 140.76 1537.38 362.38 306 396.78 288.54 562.9 651.18 1179.58 177.5 435.96 459.8 112.94 609.56 455.6 331.54 162 283.72 272.56 113.8 953.74 162 66.16 515.2 159.92 156.1 362.84 389.94 559.14 267.68 222.08 223.1 213.76 136.76 261.1 40 100 142.02 312 182.64
K07769 0 10.23 1 29.07 4.23 3.1 12.98 4.46 5.45 2.26 9.43 9.4 31.77 16.46 9.29 0 7.43 9.44 12.42 10.82 6.95 6.52 12.74 5.32 8.26 5.3 12.54 19.97 10.64 4.74 12.34 8.71 31.11 14.29 9.57 11.69 5.62 14.12 6.67 1.29 2.51 39.15 7.42 54.55 18.41 0 27.81 6.71 8.64 1.19 15.87 3.22 11.48 4.19 16.17 16.56 15.82 1 17.42 18.58 135.4 13.19 42.24 11.29 18.15 23.84 2.82 3.06 8.99 35.35 6.14 10.58 3.94 24.85 66.42 6 12.94 9.18 9.33 3.45 5.04 9.15 9.28 22.97 6.2 5.27 25.21 1.71 16.09 7.5 21.39 4.06 23.48 33.1 7.57 16.76 36.22 26.08 34.34 16.85 10.13 17.24 25.66 24.54 17.63
K07770 36.85 77.63 11.84 40.25 18.7 13.13 137 106.95 158.72 16 38.27 302 100 61.44 113.01 339.39 163 127 198.79 127.99 250.52 266.4 52.82 69.5 36.19 130.85 117.8 70 192.42 493 140 122.14 10.69 80 67 10 304 48.32 130 643.31 138.15 38.38 12.77 38.72 29 43.87 30.69 39 117 15 26.39 99.19 78 17 17.2 106.54 20.93 14 37.11 16.73 26.34 32.04 9.67 29.89 63.3 8 114.12 155.25 34.84 80.92 21.61 114.56 101.59 117.07 12 359.21 155.52 14.87 94.24 57.07 73.5 10.95 15.91 14 14.65 79 36.58 90.09 72.33 20.66 13.32 86 58 43.24 77.57 143.16 30.48 17.17 8.77 16 12.31 21.1 203.63 17.05 30.58
K07771 0 2 2 2 0 0 0 2 0 1 1 0 5 1 1 0 0 1 0 6 3 0 0 0 0 0 0 1 2 0 1 1 0 0 1 6 0 0 0 0 2 4 1 8 1 0 5 0 7.11 0 2 1 0 0 2 2 3 0 1 6 2 0 0 1 4 0 0 0 0 0 2 2 0 0 0 0 4 2 5 9 1 0 2 2 0 3 0 0 8 0 4 2 5 6 0 0 0 0 0 0 2 2 0 1 1
K07772 2 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 2 0 0 0 0 0
K07773 16 0 18 0 0 0 6 0 0 0 0 0 2 0 0 0 0 0 0 0 0 4 6 0 0 0 0 0 0 0 0 0 0 0 0 40 0 0 0 0 0 8 12 2 0 0 0 0 0 2 0 0 0 0 0 0 6 0 4 6 6 0 0 0 2 0 8 0 2 16 0 0 0 10 16 0 0 2 2 0 22 2 0 2 0 0 0 0 2 0 2 0 0 0 0 8 8 8 2 14 0 22 0 2 0
K07774 8 14 6 9 3 2 22 3 3 1 10 5 19 7 10 0 0 10 4 14 30 14 1 5 2 7 1 13 1 26 9 11 0 6 12 0 1 0 9 5 1 7 1 0 11 2 4 12 10 1 7 15 12 0 6 0 6 2 5 0 16 19 1 3 25 0 14 14 8 5 4 21 5 13 0 10 18 14 13 18 0 6 9 11 10 12 0 6 23 4 6 33 40 11 16 6 5 8 1 21 0 0 0 0 1
K07775 346.51 728.07 270.11 1462.02 620.16 408.6 836.5 466.78 620.1 368.41 402.7 483.89 1384.42 486.1 683.44 216.85 325.51 510.24 527.37 872.69 366.05 534.45 181.21 411.09 275.58 393.43 657.34 893.17 838.67 179.97 520.44 425.74 845.8 449.26 688.4 304.42 425.57 747.72 532.14 196.24 299.69 971.24 860.1 1597.73 910.34 272.98 1870.91 443.61 1031.18 196.5 1786.07 754.75 414.88 560.45 1262.78 1779.92 1034.96 265.39 742.25 791.41 2131.95 591.48 632.94 1704.04 1233.13 484.79 555.69 324.76 358.12 802.07 585.72 1101.49 615.42 850.96 1258.72 204.39 661 434.01 1074.64 777.74 814.3 1377.61 1494.05 2136.36 645.84 776.35 618.02 293.81 2250.4 663.65 1900.22 593.28 1169.38 1564.16 475.41 911.05 878.31 590.72 1240.98 1035.5 617.5 725.37 684.84 387.11 1625.08
K07776 62 57.6 51.59 46 50 14 36.04 10 7 6 28.97 10.3 42.13 24 32 11.9 10 16.94 13.31 30 27 22.05 5 26 4 12 16.78 8 13.82 11.18 22.04 14.72 15 8.75 13.76 19 7 9.4 19.14 8 22.46 45.49 24 64.34 49 8 37.76 12.74 39.83 30.03 29.16 31 60.99 13 40 107.95 158.66 18.88 45 69 55.46 35 16.91 20.22 56.28 182.56 27 57.46 7 50.35 23.4 61.9 30 10 28 11 20.9 73.14 27 40.97 33 10 21 28.29 18.52 28.77 163.44 17 25 45 31.61 62 81.96 44.13 60.53 40 85.45 36.84 35.92 68.55 20 89 33 62.72 66.96
K07777 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 2 0 1 0 0 0 0 0 1 1 0 0 2 2 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 2 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0
K07778 0 1 1 0 3 14 1 1 0 0 0 0 3 1 0 2 1 3 1 1 4 0 2 1 1 0 1 2 1 0 1 2 0 0 0 2 1 1 0 1 1 0.65 0 1 0 0 0 6 0 0 1 4 6 0 5 0 0 0 2 1 0 1 1 1 2 1 0 2 1 0 1 7 0 0 0 0 1 2 1 0 1 1 0 1 0 0 0 0 0 1 0 1 2 10 11 0 1 1 1 2 0 3 0 0 0
K07782 0 2 2 2 0 0 0 0 0 0 0 0 0 0 4 0 2 0 0 2 0 0 0 0 0 2 0 4 0 0 4 0 0 0 2 0 0 0 0 0 2 0 2 2 0 0 4 0 0 0 0 2 2 0 2 0 0 0 2 0 106 2 0 2 2 2 0 0 0 0 0 0 2 0 0 0 2 0 4 0 0 0 0 2.08 0 0 0 0 0 0 0 2 4 4 0 0 2 0 4 0 2 0 0 0 0
K07783 34 31 57.8 172.47 43 59 312.6 69.83 27 28 50.48 57.59 267.71 66.42 65.54 11 40.61 70.88 18.2 122.18 47 59.42 2.65 29.43 59.34 99.32 56.98 144.64 53.17 19.02 151.17 87.47 260.19 65.89 47.05 8 53 89.49 120.57 12 77.84 76 113.23 84.09 47.05 40 114.33 111.23 180.18 13 61 111.57 40.64 57.67 79.51 31 85.58 44.43 30.26 172.02 66.36 53.43 172.87 230.11 92.92 14 6.72 54 23 33 51.41 51.07 68.94 93.41 129.69 37.08 113.42 104.99 199.91 35.2 60 115 83.26 95.51 79.34 42.68 23 9 251.34 107 138.37 68.7 232.2 103.13 80.96 17 70 65.11 40.7 71 22 11 35 80.88 34
K07784 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
K07786 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 1.08 1.38 0 0 0 0 2 0 0 0 0 0 4.62 0 0 0 0 2 0 0 0 0 3.46 2 0 0 0 2 0 0 0 4.36 0 0 0 0 0 0 0 0 1.52 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 2 0 2 1.8 0 0
K07787 0 14 0 6.84 10 2 4 8 2 0 0 2 6 0 0 0 1 6 0 8 1 4 6 0 2 0 0 2 0 2 0 10 58 0 0 1 5 14 3 0 16 76 0 23 23 0 17.32 4 8 0 2 27 0 0 3.7 8 4 4 11 10 28.86 15 10 6 10 12 0 6 0 49 2 4 4 8 22 8 12 0 2 14 1 4 0 8 0 4 27 2 16 2 10.7 2 57.81 20 0 31 23 4 16 14 7 12 29 8 7
K07788 5.78 47.58 185.34 201.74 14.91 19.35 116.39 10.51 33.47 10.19 17 64.54 233.7 8.41 44.11 5 23.58 61.65 55.33 54.18 82.96 76.96 31.11 41.43 14.17 44.12 34.26 61.5 73.93 19.38 75.22 59.23 183.89 28.5 37.26 27 29.16 40.9 57.85 27.79 63.95 382.39 29.35 241.18 160.66 5 289.71 15 96.45 4 104.06 181.94 49.49 16.64 68.93 199.72 27.67 9 95.93 46.69 740.4 93.84 33.6 48.43 238.85 57.93 15.45 78.93 69.91 267.07 80.99 103.01 56.98 161.99 118.54 75.26 104.52 22.71 134.28 112.62 58.79 42.44 58.03 113.37 9.38 110.43 109.7 7.4 187.58 47.79 100.29 73.13 230.05 193.02 27.48 149.6 77.6 28.27 129.07 36.42 80.77 31.07 200.26 31.37 166.81
K07789 123.22 103.69 50.66 144.72 88.16 98.07 181.74 53.98 58.13 50.52 42 104.62 332.89 97.1 164.37 77.19 124.38 152.84 131.57 145.67 94.17 113.11 177.46 77.57 49.83 94.31 176.61 152.24 112.79 17.42 122.6 87.67 375.26 178.79 139.82 53 102.08 351.32 67.9 27 84.4 403.04 98.65 123.8 112.34 112.01 177.98 76.24 106.86 19.38 131.81 147.6 59.65 42.49 90.16 168.14 132.37 72 138.09 106.22 655.93 95.85 97.61 158.67 157.4 69.65 26 52 61.38 379.89 96.07 88.96 211.68 167.88 192.63 24.32 69.78 65.5 86.83 78 63.5 105.69 173.09 85.08 52.69 97.02 98.25 32.73 110.51 110.54 363.37 41.73 185.5 162.85 51.67 160.76 307.28 75.73 99.14 113.37 64.97 175.48 194.62 122.2 283.85
K07791 29 175 642.77 92 4 36 59 47.99 41 19 11 78 85 42.65 72 72 49 103.99 138 64.88 64 67 315 58 20 40.14 69.86 68 35 95.2 62 93.68 229 55 45 687 79 77 46 76 70 56 27 128 82 9 182.6 15 117 3 138 179 16.47 8 140 339 44.34 15 52.56 81 559 32 24 100 93 13 17 74.9 76 327 85 105 46 159.95 21.15 228.87 148 8 163 61 47.16 10 102 100 16 41 37 9.7 88 18 207 54 96 105 11 276.78 66 22 38 39 164 84 85.85 22 170
K07792 20 105.01 470.8 226.25 37 17.16 198.48 50 115.28 39.82 23.44 71.2 248.8 76.04 87.46 59 45.81 145.94 132.14 99.84 90.86 97 179.44 76 65 20.5 90.12 123.44 104.48 56 99.6 68.32 627 81.04 50.68 2952 103.78 251 74.57 73 79.27 158.06 20 127.55 108.11 15 219.61 32.64 93.55 4 149.57 132.56 33 19.53 87.61 166.36 55.95 18 66 39 332.4 70 31.71 71 211.7 51.42 31.43 93.96 61 195.81 72.91 142.64 46.97 150.12 64.38 74.2 157.28 30.83 108 101.46 47.16 33.87 111.75 141.89 18.41 50 97 11 116.95 42 83.03 72.5 180.4 135.23 22.94 198.4 137.48 28 179.82 41.94 81.58 48 158.17 11 144.5
K07796 19 99.52 418.06 260.77 13 16 185.98 16 42.06 18 15 85.11 296.27 20 63 16 16 153 125.66 72.1 37.09 176 79 66.65 15 60 61 36 137.5 25 135 52.69 296.22 59.07 54 37 40 73 81.9 40 87 578.33 43.71 218.02 109 16 346.49 20.22 190.34 6 285.67 425.95 60.09 64 75.34 421.03 57.65 35.72 117 61.87 1157.88 109.98 105.17 52.29 268.55 52 58 46 94.84 217.89 125 142.2 86.19 367.59 152.63 91 190.97 46.65 176.49 190 70 92.2 129.5 227.6 20 199.22 57.74 11 237.14 60 207.28 57 247.29 259.3 25 200.5 158.25 54.44 177.48 39 210 47 284.79 12 286.27
K07797 2 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 2 0 0 2 0 0 2 0 0 0 0 4 0 0 0 0 0 0 2 0 4 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 2 0 0 0 2 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0
K07798 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0
K07799 34 19.41 1 64.55 20.96 10 26 8 3 9 11 6 37.99 19 19 2 3 26 14 26 16 11 35 9 2 10 10 13 6.45 7 24 16 16 20 5 2 2 16.46 10.41 3 11 103.51 5 103 39 0 68.67 20 20.33 1 53 53 14 10 40.6 103.57 34 8 19 25 302.14 16 15 20 56.76 13.15 6 7.66 22 35 14 50.72 21 58.28 30 15 43 30 54 41 17.31 7 24 78 9 10 18 5 85.3 17 38 13 71.63 56.01 2 55 30 10.67 61.61 18 52.83 10 103.52 7.67 71.56
K07806 2 6.67 1 4 1 2 1 1 0 1 2 0 7.22 2 1 0 0 2.53 0 1 5 1 1 1 1 0 1 1 1 2 0 1.24 0 1 1 29 1 2.32 1 2 0 3.05 1 3 1.78 0 5 0 4 1 0 4 4 0 1 4 5 1 5.82 7 0 1.88 1 4.8 5 2 1 4 2 3 2 2.83 1 2 2 0 7.35 3 1 2.56 2.24 1 1 4.23 1 7.21 8 1 2.56 2 1.38 0 9.91 3.01 2 4.61 6 1 2.32 4 0 8 0 0 1.66
K07811 1 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 8 0 2 0 0 0 1 0 0 0 2 1 0 0 0 0 3 0 2 3 0 0 0 0 0 0 0 2 2 1 0 1 0 0 0 0 0 3 0 0 0 2 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 2 4 0 0 2 0 0
K07812 10 36.18 49.3 69.72 3 10.41 26.33 12.9 27.08 11.46 10.31 14.72 50.28 11.58 27.07 18.63 19.35 34.73 31.88 50.84 41.48 17.42 29.61 18.22 9 14.73 15.91 29.48 17.78 8.33 19.54 18.37 135 16.26 14.89 199 25.37 20 15 9 33.62 118 8 109 54.67 3 184.55 8.96 29.95 1 123.86 82.18 9 12 35.12 139 40 1 74.54 28 603.86 14 18 59.65 143.56 14 7.43 43.66 14.82 129 24.07 71.21 31.34 31.94 8 33 68.56 5 78 41.42 9 7.43 34.02 104.96 8.24 8.17 27 0 84.83 10 91 29.27 71.35 96.69 5 108 97.44 9 107.85 11.29 128 111 92 1 68
